Object Center X,"	Object Center Y","	X Left","	Y Top","	X Right","	Y Bottom","	Area","	Orientation","	Frame #","	Time / s","	Aspect Ratio","	Pixel Threshold","	Max Droplet Width / um","	Contact Droplet Width / um","	Volume (slices) / um3","	Volume (cap) / um3","	Volume-equivalent radius / um","	Volume-equivalent diameter / um","	Height of spherical cap / um","	Contact angle / degrees","	Surface area / um2"
60.635815,83.44503,29,57,94,106,2647,177.268723,97,1.616667,1.326531,144,43.721973,36.32287,36059.54929,35824.2659,20.49481,40.98962,32.959641,122.288678,4449.047089
60.682438,83.376228,29,57,93,106,2642,177.782364,98,1.633333,1.306122,144,43.049327,36.32287,35815.50154,35824.2659,20.44847,40.896939,32.959641,122.288678,4449.047089
60.612549,83.468445,29,57,93,106,2630,177.112015,99,1.65,1.306122,144,43.049327,36.32287,35674.95298,35824.2659,20.421686,40.843373,32.959641,122.288678,4449.047089
60.649544,83.480591,29,57,93,106,2628,176.896423,100,1.666667,1.306122,144,43.049327,36.32287,35594.63952,35824.2659,20.40635,40.8127,32.959641,122.288678,4449.047089
60.63242,83.490486,29,57,93,106,2628,177.302612,101,1.683333,1.306122,144,43.049327,36.32287,35614.71788,35824.2659,20.410186,40.820372,32.959641,122.288678,4449.047089
60.657207,83.590874,29,57,93,106,2608,177.21907,102,1.7,1.306122,144,43.049327,36.32287,35213.62863,35824.2659,20.333278,40.666555,32.959641,122.288678,4449.047089
60.711655,83.534126,29,57,93,106,2608,177.712952,103,1.716667,1.306122,144,43.049327,36.32287,35138.57379,35824.2659,20.318821,40.637642,32.959641,122.288678,4449.047089
60.523167,83.592667,29,57,92,106,2590,177.32988,104,1.733333,1.285714,144,42.376682,35.650224,34781.94377,35197.65358,20.249847,40.499694,32.959641,123.189507,4411.024083
60.537029,83.654907,29,57,92,106,2579,177.182022,105,1.75,1.285714,144,42.376682,36.32287,34541.24241,35824.2659,20.203027,40.406054,32.959641,122.288678,4449.047089
60.452744,83.569038,29,57,92,106,2571,177.968811,106,1.766667,1.285714,144,42.376682,35.650224,34281.65783,35197.65358,20.15229,40.30458,32.959641,123.189507,4411.024083
60.422386,83.684479,29,57,92,106,2564,177.93811,107,1.783333,1.285714,144,42.376682,35.650224,34230.26678,35197.65358,20.142215,40.28443,32.959641,123.189507,4411.024083
60.428852,83.627052,29,57,92,106,2558,176.658127,108,1.8,1.285714,144,42.376682,35.650224,33970.68219,35197.65358,20.09117,40.182339,32.959641,123.189507,4411.024083
60.450844,83.831573,29,58,92,106,2553,176.507904,109,1.816667,1.3125,144,42.376682,35.650224,34118.64062,33737.39071,20.120296,40.240592,32.286996,122.195286,4273.146266
60.236313,83.684128,29,57,92,106,2539,177.056229,110,1.833333,1.285714,144,42.376682,35.650224,33623.37428,35197.65358,20.022466,40.044932,32.959641,123.189507,4411.024083
60.344242,83.777603,29,57,92,106,2536,176.64563,111,1.85,1.285714,144,42.376682,35.650224,33647.99418,35197.65358,20.027352,40.054703,32.959641,123.189507,4411.024083
60.15089,83.778221,29,58,92,106,2525,177.614609,112,1.866667,1.3125,144,42.376682,35.650224,33349.92606,33737.39071,19.968039,39.936079,32.286996,122.195286,4273.146266
60.157143,83.73333,29,58,92,106,2520,177.79985,113,1.883333,1.3125,144,42.376682,35.650224,33189.06011,33737.39071,19.935882,39.871763,32.286996,122.195286,4273.146266
60.080078,83.829086,29,58,92,106,2510,177.676224,114,1.9,1.3125,144,42.376682,35.650224,33076.23882,33737.39071,19.913266,39.826533,32.286996,122.195286,4273.146266
60.039856,83.771225,29,58,92,106,2509,177.7164,115,1.916667,1.3125,144,42.376682,35.650224,32912.02647,33737.39071,19.880257,39.760515,32.286996,122.195286,4273.146266
60.040867,83.832932,29,58,92,106,2496,177.253204,116,1.933333,1.3125,144,41.704036,35.650224,32680.40818,33737.39071,19.833512,39.667024,32.286996,122.195286,4273.146266
59.992752,83.948067,29,58,92,106,2484,177.125671,117,1.95,1.3125,144,42.376682,35.650224,32534.601,33737.39071,19.803971,39.607943,32.286996,122.195286,4273.146266
60.020081,83.836143,30,58,92,106,2490,177.279999,118,1.966667,1.291667,144,41.704036,35.650224,32523.60571,33737.39071,19.80174,39.603481,32.286996,122.195286,4273.146266
