,time,ca_rad,activity_coeff,mass,tau,dm/dt,new_mass,mass_frac_solute,mass_frac_solvent,density,radius,volume
244,3.92,2.226836463074349,0.5586454490884947,3.657873034843164e-11,0.6587923463387616,2.2625248885100307e-12,3.654252995021548e-11,0.4536392401865639,0.546360759813436,1377.2149589344883,15.181704826851446,26533.642924186202
245,3.936,2.226836463074349,0.5579600773477651,3.6542529950215544e-11,0.6533216422276101,2.2324041807722344e-12,3.650681148332319e-11,0.4540830833359191,0.5459169166640807,1377.6773318875526,15.175058712980816,26498.81117903369
246,3.952,2.226836463074349,0.557283198712625,3.650681148332326e-11,0.6478780547097939,2.2026855212503915e-12,3.6471568514983254e-11,0.45452186994097465,0.5454781300590252,1378.1346479143356,15.168495711048655,26464.444943880633
247,3.968,2.226836463074349,0.5566147254157059,3.647156851498332e-11,0.6424619421477525,2.173363875906137e-12,3.643679469296882e-11,0.4549556474655952,0.5450443525344046,1378.5869492605457,15.162014842637985,26430.53795954836
248,3.984,2.226836463074349,0.5559545698760573,3.643679469296889e-11,0.6370736458894042,2.144434254487019e-12,3.6402483744897096e-11,0.4553844632492805,0.5446155367507193,1379.034278214889,15.155615138326596,26397.08404639428
249,4.0,2.226836463074349,0.5553026447291742,3.6402483744897154e-11,0.6317134906620475,2.1158917109914245e-12,3.636862947752129e-11,0.45580836449601797,0.5441916355039819,1379.476677094549,15.14929563770063,26364.077103587446
250,4.016,2.226836463074349,0.5546588628559235,3.6368629477521354e-11,0.6263817849635012,2.087731344095714e-12,3.6335225776015825e-11,0.4562273982635582,0.5437726017364415,1379.9141882311174,15.14305538936394,26331.511108377817
251,4.032,2.226836463074349,0.5540231374099633,3.633522577601588e-11,0.621078821446113,2.059948297531009e-12,3.6302266603255385e-11,0.456641611453103,0.5433583885468967,1380.3468539569587,15.136893450943449,26299.380115360007
252,4.048,2.226836463074349,0.5533953818444388,3.6302266603255456e-11,0.6158048773008046,2.0325377604355596e-12,3.626974599908849e-11,0.4570510507994002,0.5429489492005994,1380.7747165920084,15.130808889090575,26267.678255732055
253,4.064,2.226836463074349,0.5527755099370637,3.626974599908855e-11,0.6105602146320744,2.005494967654284e-12,3.623765807960608e-11,0.45745576286123407,0.5425442371387655,1381.197818430995,15.124800779478955,26236.399736549774
254,4.08,2.226836463074349,0.5521634358144141,3.623765807960615e-11,0.605345080831621,1.9788152000128547e-12,3.6205997036405944e-11,0.4578557940123047,0.542144205987695,1381.6162017310812,15.118868206798526,26205.538839977435
255,4.096,2.226836463074349,0.551559073974893,3.6205997036406e-11,0.6001597089448636,1.952493784549095e-12,3.617475713585322e-11,0.4582511904324864,0.5417488095675131,1382.0299086999155,15.113010264746157,26175.08992253507
256,4.112,2.226836463074349,0.550962339310864,3.6174757135853283e-11,0.595004318034929,1.9265260947184236e-12,3.614393271833779e-11,0.4586419980994588,0.5413580019005407,1382.4389814840865,15.107226056012944,26145.04741434322
257,4.128,2.226836463074349,0.5503731471294984,3.614393271833785e-11,0.5898791135391828,1.9009075505588352e-12,3.611351819752891e-11,0.4590282627806995,0.5409717372192999,1382.8434621579786,15.10151469226831,26115.405818365314
258,4.144,2.226836463074349,0.5497914131727981,3.611351819752897e-11,0.5847842876225682,1.875633618830916e-12,3.608350805962768e-11,0.45941003002583203,0.5405899699741674,1383.2433927130105,15.095875294141015,26086.15970964853
259,4.16,2.226836463074349,0.5492170536364185,3.608350805962774e-11,0.5797200195236248,1.8506998131209934e-12,3.6053896862617806e-11,0.45978734515931874,0.5402126548406807,1383.6388150472633,15.090306991197258,26057.30373456331
260,4.176,2.226836463074349,0.548649985187815,3.605389686261788e-11,0.5746864758981178,1.826101693924747e-12,3.602467923551508e-11,0.4601602532734931,0.5398397467265065,1384.0297709554768,15.08480892191591,26028.832610042147
261,4.192,2.226836463074349,0.5480901249831547,3.602467923551514e-11,0.569683811154328,1.8018348686935136e-12,3.5995849877616044e-11,0.46052879922191947,0.5394712007780801,1384.4163021194197,15.079380233661105,26000.741122818014
262,4.208,2.226836463074349,0.5475373906834378,3.599584987761612e-11,0.5647121677841651,1.7778949918580352e-12,3.596740355774639e-11,0.46089302761307527,0.5391069723869243,1384.798450098614,15.0740200826522,25973.024128662975
263,4.224,2.226836463074349,0.5469917004698317,3.596740355774646e-11,0.5597716766898337,1.7542777648299028e-12,3.593933511350918e-11,0.46125298280434546,0.5387470171956541,1385.1762563214163,15.068727633931296,25945.676551627097
264,4.24,2.226836463074349,0.546452973057896,3.593933511350925e-11,0.5548624575024768,1.7309789359706573e-12,3.591163945053372e-11,0.46160870889632194,0.5383912911036776,1385.549762076444,15.063502061328393,25918.69338327842
265,4.256,2.226836463074349,0.5459211277112743,3.591163945053378e-11,0.5499846188984078,1.7079943005473742e-12,3.588431154172502e-11,0.46196024972740024,0.5380397502725994,1385.9190085043372,15.058342547424301,25892.069681943987
266,4.272,2.226836463074349,0.5453960842542713,3.588431154172508e-11,0.545138258906675,1.6853197006561551e-12,3.585734642651458e-11,0.46230764886866405,0.5376923511313356,1386.2840365898505,15.053248283511428,25865.800571952648
267,4.288,2.226836463074349,0.5448777630838322,3.585734642651465e-11,0.540323465213014,1.6629510251304703e-12,3.583073921011256e-11,0.462650949619052,0.5373490503809475,1386.6448871542755,15.04821846955248,25839.881242879528
